ActionID,TopicNumber,RepresentationList
26,0,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 12, 14, 15, 18, 19]"
8,1,"[0, 1, 2, 4, 5, 11, 19]"
15,2,"[8, 10, 13]"
55,2,"[1, 4, 9, 14]"
4,3,"[3, 4, 6, 7, 13, 19]"
30,3,"[14, 15]"
56,3,[11]
57,4,"[0, 1, 12, 15, 16, 17, 19]"
58,4,"[3, 4, 5, 6, 8, 9, 10, 13, 14]"
59,5,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 18]"
13,6,"[2, 3, 6, 8, 10, 11, 12, 14, 15, 18]"
2,7,"[4, 5, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18]"
7,8,"[0, 1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 17, 19]"
60,9,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 14, 15, 16, 18]"
61,10,"[0, 1, 2, 6, 7, 8, 10, 11, 15, 19]"
0,11,"[9, 14]"
1,11,"[2, 3, 4, 5, 6, 7, 8, 10]"
2,11,[19]
4,11,"[17, 18]"
29,11,"[11, 12, 13, 15, 16]"
28,12,"[0, 1, 2, 3, 4, 7, 9, 11, 16, 17]"
3,13,"[1, 2]"
7,13,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19]"
7,14,"[0, 1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19]"
13,15,"[0, 1, 2, 3, 4, 5, 6]"
3,16,"[1, 2, 6, 7, 8, 10, 15, 16]"
8,16,"[5, 11, 13, 18]"
54,17,"[1, 2, 3, 4, 6, 8, 9]"
64,17,"[0, 12, 13, 14, 15, 16, 17, 18, 19]"
11,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
7,19,"[0, 1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 14, 17, 18, 19]"
