topic,rep_idx,rep_ctfidf,rep_string,Count,Action
-1,0,0.0964,physical document,11,
-1,1,0.0964,physical,1,
-1,2,0.0959,remarks provide revised medical,1,Ensure you have provided bill as per the agreed packages only
-1,3,0.0959,remarks provide revised,1,
-1,4,0.0938,provide revised medical agreed,1,Ensure you have provided bill as per the agreed packages only
-1,5,0.0938,provide revised medical,1,
-1,6,0.0938,revised medical agreed,1,Ensure you have provided bill as per the agreed packages only
-1,7,0.0938,medical agreed,1,
-1,8,0.0938,revised medical agreed schedule,1,Ensure you have provided bill as per the agreed packages only
-1,9,0.0938,medical agreed schedule,1,Ensure you have provided bill as per the agreed packages only
-1,10,0.0938,medical agreed schedule charge,1,Ensure you have provided bill as per the agreed packages only
-1,11,0.0938,schedule charge,1,Ensure you have provided bill as per the agreed packages only
-1,12,0.0938,agreed schedule charge,1,Ensure you have provided bill as per the agreed packages only
-1,13,0.0938,schedule charge tariff,1,Ensure you have provided bill as per the agreed packages only
-1,14,0.0938,agreed schedule charge tariff,1,Ensure you have provided bill as per the agreed packages only
-1,15,0.0938,agreed schedule,1,Ensure you have provided bill as per the agreed packages only
-1,16,0.0938,schedule,1,Ensure you have provided bill as per the agreed packages only
-1,17,0.0936,charge tariff,1,Ensure you have provided bill as per the agreed packages only
-1,18,0.093,revised medical,1,
-1,19,0.0921,remarks doctor,1,
0,0,0.2461,remarks provide supportive investigation,11,Ensure you have uploaded all the supportive Investigation Reports
0,1,0.2461,remarks provide supportive,11,Ensure you have uploaded all the supportive Investigation Reports
0,2,0.2284,report remarks provide supportive,11,Ensure you have uploaded all the supportive Investigation Reports
0,3,0.2138,record support diagnosis provide,11,Ensure you have uploaded all the supportive Investigation Reports
0,4,0.2128,support diagnosis provide,11,Ensure you have uploaded all the supportive Investigation Reports
0,5,0.2087,diagnosis provide,11,
0,6,0.1941,diagnosis remarks provide supportive,11,Ensure you have uploaded all the supportive Investigation Reports
0,7,0.1776,record support diagnosis,11,Ensure you have uploaded all the supportive Investigation Reports
0,8,0.1776,medical record support diagnosis,11,Ensure you have uploaded all the supportive Investigation Reports
0,9,0.1776,medical record support,11,Ensure you have uploaded all the supportive Investigation Reports
0,10,0.1776,record support,11,Ensure you have uploaded all the supportive Investigation Reports
0,11,0.1776,report medical record support,11,
0,12,0.1776,supportive investigation report medical,11,Ensure you have uploaded all the supportive Investigation Reports
0,13,0.1776,report medical record,11,
0,14,0.1776,investigation report medical,11,Ensure you have uploaded all the supportive Investigation Reports
0,15,0.1776,investigation report medical record,11,Ensure you have uploaded all the supportive Investigation Reports
0,16,0.1775,report medical,11,
0,17,0.1775,medical record,11,
0,18,0.177,provide supportive investigation report,11,Ensure you have uploaded all the supportive Investigation Reports
0,19,0.1769,provide supportive investigation,11,Ensure you have uploaded all the supportive Investigation Reports
1,0,0.3457,remarks detailed discharge summary,1,"Detailed discharge summary with the reason for hospitalization, significant findings, procedure done, treatment given"
1,1,0.3439,remarks detailed discharge,1,"Detailed discharge summary with the reason for hospitalization, significant findings, procedure done, treatment given"
1,2,0.3436,detailed discharge summary reason,1,"Detailed discharge summary with the reason for hospitalization, significant findings, procedure done, treatment given"
1,3,0.3433,remarks detailed,1,
1,4,0.3354,detailed discharge summary,1,"Detailed discharge summary with the reason for hospitalization, significant findings, procedure done, treatment given"
1,5,0.3333,detailed discharge,1,"Detailed discharge summary with the reason for hospitalization, significant findings, procedure done, treatment given"
1,6,0.3321,reason hospitalization significant,1,
1,7,0.3321,reason hospitalization significant finding,1,
1,8,0.3321,significant finding procedure treatment,1,
1,9,0.3321,treatment provided hospital,1,
1,10,0.3321,hospitalization significant finding procedure,1,
1,11,0.3321,discharge summary reason hospitalization,1,"Detailed discharge summary with the reason for hospitalization, significant findings, procedure done, treatment given"
1,12,0.3321,significant finding procedure,1,
1,13,0.3321,summary reason hospitalization significant,1,
1,14,0.3321,finding procedure treatment provided,1,
1,15,0.3321,summary reason hospitalization,1,
1,16,0.3321,procedure treatment provided,1,
1,17,0.3321,procedure treatment provided hospital,1,
1,18,0.3321,finding procedure treatment,1,
1,19,0.3321,discharge summary reason,1,"Detailed discharge summary with the reason for hospitalization, significant findings, procedure done, treatment given"
2,0,0.4788,cashless,1,
