,Topic,ActionIDs_adhoc
0,0,[26]
1,1,[8]
2,2,"[26, 8, 55, 15, 14]"
3,3,"[4, 8, 56, 30]"
4,4,"[57, 58]"
5,5,[59]
6,6,"[8, 13]"
7,7,"[1, 0, 2, 3, 5]"
8,8,[7]
9,9,[60]
10,10,[61]
11,11,"[62, 1, 29, 0, 2, 4]"
12,12,"[1, 29, 0, 2, 4, 63, 28]"
13,13,"[3, 7]"
14,14,[7]
15,15,[13]
16,16,"[8, 3, 9]"
17,17,"[64, 54]"
18,18,[11]
19,19,"[8, 7]"
20,20,"[1, 0, 2, 3, 5, 65, 67, 23, 6, 68]"
21,21,"[8, 13]"
22,22,"[1, 0, 4, 3, 6]"
23,23,"[30, 3, 22, 21, 10]"
24,24,"[14, 69]"
25,25,[70]
26,26,"[3, 10, 71, 52, 72, 16]"
27,27,[73]
28,28,[18]
29,29,[19]
30,30,"[20, 74]"
31,31,"[75, 76]"
32,32,"[9, 66]"
33,33,[53]
34,34,[2]
35,35,"[4, 12]"
36,36,"[4, 19, 12]"
37,37,[27]
38,38,[24]
39,39,"[1, 0, 2, 4, 6, 18]"
40,40,"[0, 3]"
41,41,[33]
42,42,[27]
43,43,"[1, 0, 4, 3, 5, 6]"
44,44,[7]
45,45,[34]
46,46,[11]
47,47,[35]
48,48,"[10, 36]"
49,49,"[3, 7]"
50,50,[15]
51,51,[17]
52,52,"[1, 0, 2, 4, 5, 6, 12, 17]"
53,53,"[1, 0, 2, 4, 5, 7, 6]"
54,54,"[43, 1, 0, 2, 3, 23, 41]"
55,55,[44]
56,56,"[1, 0, 2, 4, 5, 6, 45]"
57,57,"[1, 0, 2, 4, 5, 6, 20]"
58,58,[14]
59,59,"[1, 0, 2, 4, 5, 6]"
60,60,[48]
61,61,"[50, 25]"
62,62,"[3, 51]"
63,63,"[1, 0, 2, 3, 5, 42, 49, 47]"
64,64,"[1, 0, 2, 5, 7, 6]"
65,65,"[8, 9, 22, 21]"
66,66,[3]
67,67,"[3, 28]"
68,68,"[1, 0, 2, 3, 5]"
69,69,"[3, 46, 40]"
70,70,"[1, 0, 2, 4, 5, 6, 31]"
71,71,"[1, 0, 2, 4, 5, 6]"
72,72,"[1, 0, 2, 4, 5, 6, 39]"
73,73,[38]
74,74,"[1, 0, 2, 5, 6, 24]"
75,75,[15]
76,76,"[3, 37]"
77,77,"[1, 0, 2, 4, 3, 5, 6, 25]"
78,78,[7]
79,79,"[1, 0, 2, 5, 6, 32]"
80,80,[16]
81,81,[11]
82,82,[3]
83,83,[77]
