Topic,Asked info or doc,Asked info or doc - Category
-1,Ensure you have provided bill as per the agreed packages only,Bill
-1,Ensure to provide history and the duration of Ailment,Letter from Doctor or Hospital (Information)
-1,Kindly Provide first consultation papers of patient,Previous Consultation Papers
-1,Ensure to attach Admission Notes,Admission Notes
-1,Ensure to provide all indoor papers,Indoor Papers
-1,Ensure to attach Nurse Notes,Nurse Notes
-1,Ensure to provide TPR Chart,TPR Charts
-1,Ensure to provide Treatment or Medication or Drug chart,Treatment Chart
-1,Ensure to provide Detailed OT Notes with Anesthesia Notes,OT Notes
-1,"Ensure to provide the patient's ID Proof with the address (Driving Licence, Voter ID, Passport, Aadhar) ",KYC - Id Proof (Patient)
-1,Provide latest passport photo of Patient,Patient Photgraph
0,Ensure you have uploaded all the supportive Investigation Reports,Investigations
1,"Detailed discharge summary with the reason for hospitalization, significant findings, procedure done, treatment given",Discharge Summary
2,Ensure you have attached the Cashless Claim Form,Claim Forms
2,Ensure to provide cashless final bill with detailed breakup,Bill
2,Ensure you have uploaded all the supportive Investigation Reports,Investigations
2,"Detailed discharge summary with the reason for hospitalization, significant findings, procedure done, treatment given",Discharge Summary
2,Ensure DOA and DOD on all documents are same,DOA DOD mismatched
3,Ensure to provide X-ray post surgery,Post Procedure investigations
3,"Detailed discharge summary with the reason for hospitalization, significant findings, procedure done, treatment given",Discharge Summary
3,Ensure to provide Detailed OT Notes with Anesthesia Notes,OT Notes
3,Ensure to provide Beneficiary Feed back form,Beneficiary Feedback Form
4,Ensure to provide the duration of Ailment,Letter from Doctor or Hospital (Information)
4,Ensure to provide OPD consultation paper with advice for investigations and or treatment and duration of ailment,OPD Consultation
5,Ensure you have provided bill as per the agreed packages only,Bill
6,Ensure to provide final bill with detailed breakup,Bill
6,"Detailed discharge summary with the reason for hospitalization, significant findings, procedure done, treatment given",Discharge Summary
7,Ensure to provide investigation reports to support diagnosis,Investigations
7,Ensure to provide all indoor papers,Indoor Papers
7,Ensure to provide Nurse Notes,Nurse Notes
7,Ensure to provide TPR Chart,TPR Charts
7,Ensure to provide Treatment or Medication or Drug chart,Treatment Chart
8,Ensure you have provided bill as per the agreed tariff or packages only,Bill
9,"Doctor Letter with detailed history, significant findings and line of treatment",Letter from Doctor or Hospital (Information)
10,Ensure the DOA and DOD on all documents are the same. Preferably with time of admission and discharge,DOA DOD mismatched
11,Ensure to attach Admission Notes,Admission Notes
11,Ensure to provide all indoor papers,Indoor Papers
11,Ensure to attach Nurse Notes,Nurse Notes
11,Ensure to provide TPR Chart,TPR Charts
11,Ensure to provide Treatment or Medication or Drug chart,Treatment Chart
11,Ensure to provide Detailed OT Notes with Anesthesia Notes,OT Notes
12,Ensure to attach Enhancement Letter,Claim Forms
12,Doctor Letter providing the reason for prolonged stay,Letter from Doctor or Hospital (Information)
12,Ensure to provide all indoor papers,Indoor Papers
12,Ensure to attach Nurse Notes,Nurse Notes
12,Ensure to provide TPR Chart,TPR Charts
12,Ensure to provide Treatment or Medication or Drug chart,Treatment Chart
12,Ensure to provide Detailed OT Notes with Anesthesia Notes,OT Notes
13,Ensure you have provided bill as per the agreed tariff or packages only,Bill
13,Ensure to provide investigation reports to support diagnosis,Investigations
14,Ensure you have provided bill as per the agreed tariff or packages only,Bill
15,Ensure to provide final bill with detailed breakup,Bill
16,Ensure to provide the Final Bill.,Bill
16,Ensure to provide investigation reports to support diagnosis,Investigations
16,"Detailed discharge summary with the reason for hospitalization, significant findings, procedure done, treatment given",Discharge Summary
17,Ensure to provide the patient's ID Proof with address,KYC - Id Proof (Patient)
17,Ensure to provide Policy holder's PAN card,PAN for more than 1 lakh (Policy Holder)
18,"Ensure to provide the patient's ID Proof with the address (Driving Licence, Voter ID, Passport, Aadhar) ",KYC - Id Proof (Patient)
19,Ensure you have provided bill as per the agreed tariff or packages only,Bill
19,"Detailed discharge summary with the reason for hospitalization, significant findings, procedure done, treatment given",Discharge Summary
20,Ensure to provide claim form,Claim Forms
20,Ensure to provide investigation reports to support diagnosis,Investigations
20,Provide reason for admission,Letter from Doctor or Hospital (Information)
20,Kindly Provide all previous consultation papers of patient,Previous Consultation Papers
20,Ensure to provide Admission Notes,Admission Notes
20,Ensure to provide all indoor papers,Indoor Papers
20,Ensure to provide Nurse Notes,Nurse Notes
20,Ensure to provide TPR Chart,TPR Charts
20,Ensure to provide Treatment or Medication or Drug chart,Treatment Chart
20,Ensure to attach Gipsa Certificate,Gipsa Certificate
21,Ensure to provide Final Bill with detailed breakup,Bill
21,"Detailed discharge summary with the reason for hospitalization, significant findings, procedure done, treatment given",Discharge Summary
22,Ensure to provide investigation reports to support diagnosis,Investigations
22,Ensure to provide Admission Notes,Admission Notes
22,Ensure to provide all indoor papers,Indoor Papers
22,Ensure to provide TPR Chart,TPR Charts
22,Ensure to provide Detailed OT Notes with Anesthesia Notes,OT Notes
23,Ensure to provide investigation reports to support diagnosis,Investigations
23,Ensure to provide Hospital referral Letter,Hospital Referral Letters
23,Ensure to provide Admission Certificate,Admission Certificate
23,Ensure to provide Beneficiary Feed back form,Beneficiary Feedback Form
23,Ensure to provide details on the history of Alcohol Consumption preferrably on clinical notes,H/o Alcohol Consumptions (information)
24,Ensure to attach death certificate in case of Death Claim,Death Certificate
24,Ensure DOA and DOD on all documents are same,DOA DOD mismatched
25,Ensure to provide Cost estimates of Conventional Treatment,Bill
26,Ensure to provide investigation reports to support diagnosis,Investigations
26,Ensure to provide details on the history of Alcohol Consumption preferrably on clinical notes,H/o Alcohol Consumptions (information)
26,"Ensure to provide Alcohol Test reports (this is necessary in case of RTA, MLC cases)",Alcohol Test
26,Ensure to provide MLC report for applicable case,MLC
26,Ensure to provide FIR for MLC case,FIR
26,Ensure to provide a self-declaration of patient explaining about incident,Self Declaration
27,Ensure you have Ensure to provided the bill as per the agreed tariff or packages only or Ensure to provide clarification of any discrepancy,Bill
28,Ensure to provide Doctor Certificate detailing aetiology,Letter from Doctor or Hospital (Information)
29,Ensure to provide bill as per the agreed tariff or packages only,Bill
30,Ensure to provide a Case Summary on doctor's letter,Letter from Doctor or Hospital (Information)
30,Ensure to provide Patient ID Proof,KYC - Id Proof (Patient)
31,Ensure to provide Stickers for Implants done if any,Implant Stickers
31,Kindly provide invoice for Chemotherapy Drug,Invoice for Chemo Therapy Agents
32,Ensure to provide the Final Bill.,Bill
32,Ensure to provide Dialysis Chart,Dialysis Chart
33,Ensure to bill as per tariff and not overcharge on any bill item or provide clarification for overcharged items.,Bill
34,Ensure to provide Treatment or Medication or Drug chart,Treatment Chart
35,Ensure to provide Detailed OT Notes with Anesthesia Notes,OT Notes
35,Ensure to provide Anaesthesia Notes along with OT Notes,Anaesthesia Notes
36,Ensure to provide bill as per the agreed tariff or packages only,Bill
36,Ensure to provide Detailed OT Notes with Anesthesia Notes,OT Notes
36,Ensure to provide Anaesthesia Notes along with OT Notes,Anaesthesia Notes
37,Ensure to provide detailed bills with proper pre-numbering,Bill
38,"Kindly attach Patient paid deposit receipt clarifying amount paid towards patient's payable (NME, Co-pay etc.)",Patient Receipt
39,Ensure to provide Doctor Certificate detailing aetiology,Letter from Doctor or Hospital (Information)
39,Ensure to provide Admission Notes,Admission Notes
