Topic,ActionIDs_adhoc,ActionIDs_model,len_adhoc_actions,len_model_actions,model_is_subset_adhoc,actions_adhoc_minus_model
0,[26],[26],1,1,True,set()
1,[8],[8],1,1,True,set()
2,"[26, 8, 55, 15, 14]","[15, 55]",5,2,True,"{8, 26, 14}"
3,"[4, 8, 56, 30]","[4, 30, 56]",4,3,True,{8}
4,"[57, 58]","[57, 58]",2,2,True,set()
5,[59],[59],1,1,True,set()
6,"[8, 13]",[13],2,1,True,{8}
7,"[1, 0, 2, 3, 5]",[2],5,1,True,"{0, 1, 3, 5}"
8,[7],[7],1,1,True,set()
9,[60],[60],1,1,True,set()
10,[61],[61],1,1,True,set()
11,"[62, 1, 29, 0, 2, 4]","[0, 1, 2, 4, 29]",6,5,True,{62}
12,"[1, 29, 0, 2, 4, 63, 28]",[28],7,1,True,"{0, 1, 2, 4, 29, 63}"
13,"[3, 7]","[3, 7]",2,2,True,set()
14,[7],[7],1,1,True,set()
15,[13],[13],1,1,True,set()
16,"[8, 3, 9]","[3, 8]",3,2,True,{9}
17,"[64, 54]","[54, 64]",2,2,True,set()
18,[11],[11],1,1,True,set()
19,"[8, 7]",[7],2,1,True,{8}
20,"[1, 0, 2, 3, 5, 65, 67, 23, 6, 68]","[3, 23, 67]",10,3,True,"{0, 1, 2, 65, 68, 5, 6}"
22,"[1, 0, 4, 3, 6]","[0, 1, 3, 4]",5,4,True,{6}
23,"[30, 3, 22, 21, 10]","[21, 22]",5,2,True,"{10, 3, 30}"
24,"[14, 69]",[14],2,1,True,{69}
25,[70],[70],1,1,True,set()
26,"[3, 10, 71, 52, 72, 16]","[3, 16, 71]",6,3,True,"{72, 10, 52}"
27,[73],[73],1,1,True,set()
28,[18],[18],1,1,True,set()
29,[19],[19],1,1,True,set()
30,"[20, 74]",[74],2,1,True,{20}
31,"[75, 76]",[75],2,1,True,{76}
32,"[9, 66]",[66],2,1,True,{9}
33,[53],[53],1,1,True,set()
34,[2],[2],1,1,True,set()
35,"[4, 12]","[4, 12]",2,2,True,set()
36,"[4, 19, 12]",[19],3,1,True,"{4, 12}"
37,[27],[27],1,1,True,set()
38,[24],[24],1,1,True,set()
39,"[1, 0, 2, 4, 6, 18]","[0, 1, 2]",6,3,True,"{18, 4, 6}"
40,"[0, 3]",[0],2,1,True,{3}
41,[33],[33],1,1,True,set()
43,"[1, 0, 4, 3, 5, 6]","[0, 1]",6,2,True,"{3, 4, 5, 6}"
44,[7],[7],1,1,True,set()
46,[11],[11],1,1,True,set()
47,[35],[35],1,1,True,set()
48,"[10, 36]","[10, 36]",2,2,True,set()
49,"[3, 7]",[7],2,1,True,{3}
51,[17],[17],1,1,True,set()
52,"[1, 0, 2, 4, 5, 6, 12, 17]",[17],8,1,True,"{0, 1, 2, 4, 5, 6, 12}"
53,"[1, 0, 2, 4, 5, 7, 6]","[0, 1, 5, 7]",7,4,True,"{2, 4, 6}"
55,[44],[44],1,1,True,set()
56,"[1, 0, 2, 4, 5, 6, 45]","[0, 1, 2, 5]",7,4,True,"{4, 45, 6}"
57,"[1, 0, 2, 4, 5, 6, 20]","[1, 2, 5, 6]",7,4,True,"{0, 4, 20}"
59,"[1, 0, 2, 4, 5, 6]","[1, 5, 6]",6,3,True,"{0, 2, 4}"
61,"[50, 25]","[25, 50]",2,2,True,set()
62,"[3, 51]",[51],2,1,True,{3}
63,"[1, 0, 2, 3, 5, 42, 49, 47]","[3, 42]",8,2,True,"{0, 1, 2, 5, 47, 49}"
64,"[1, 0, 2, 5, 7, 6]","[0, 1, 5, 7]",6,4,True,"{2, 6}"
65,"[8, 9, 22, 21]","[21, 22]",4,2,True,"{8, 9}"
66,[3],[3],1,1,True,set()
67,"[3, 28]",[28],2,1,True,{3}
68,"[1, 0, 2, 3, 5]","[1, 3, 5]",5,3,True,"{0, 2}"
69,"[3, 46, 40]","[3, 40, 46]",3,3,True,set()
70,"[1, 0, 2, 4, 5, 6, 31]","[0, 31]",7,2,True,"{1, 2, 4, 5, 6}"
71,"[1, 0, 2, 4, 5, 6]",[2],6,1,True,"{0, 1, 4, 5, 6}"
72,"[1, 0, 2, 4, 5, 6, 39]","[0, 39]",7,2,True,"{1, 2, 4, 5, 6}"
73,[38],[38],1,1,True,set()
74,"[1, 0, 2, 5, 6, 24]",[1],6,1,True,"{0, 2, 5, 6, 24}"
75,[15],[15],1,1,True,set()
76,"[3, 37]","[3, 37]",2,2,True,set()
77,"[1, 0, 2, 4, 3, 5, 6, 25]",[0],8,1,True,"{1, 2, 3, 4, 5, 6, 25}"
78,[7],[7],1,1,True,set()
79,"[1, 0, 2, 5, 6, 32]","[0, 32]",6,2,True,"{1, 2, 5, 6}"
80,[16],[16],1,1,True,set()
81,[11],[11],1,1,True,set()
82,[3],[3],1,1,True,set()
83,[77],[77],1,1,True,set()
